ID,R013_recent_flood_exp,R013a_recent_flood_damage,R013b_recent_flood_health,R013c_recent_flood_cost
393,1,2.0,2.0,500.0
514,1,2.0,1.0,0.0
618,0,,,
810,0,,,
880,0,,,
1151,1,1.0,1.0,0.0
1196,1,1.0,1.0,0.0
1251,1,1.0,5.0,300.0
1337,1,1.0,1.0,0.0
1512,0,,,
1659,0,,,
1664,0,,,
1666,0,,,
1704,0,,,
1712,1,1.0,1.0,0.0
1855,0,,,
1889,0,,,
1938,0,,,
2144,0,,,
